پردازش	0.375182
شماره	0.325427
بررسی	0.310795
جهت	0.278936
اطلاعات	0.222351
خطای	0.218204
گروه	0.212287
فنی	0.208836
ارجاع	0.207313
دریافت	0.203238
حساب	0.166839
پیغام	0.159009
طریق	0.143521
مشتری	0.138968
گزارش	0.134182
صورت	0.133994
درخواست	0.121595
سامانه	0.109646
کارت	0.099857
چک	0.093578
رفع	0.091896
ثبت	0.090953
استعلام	0.088966
وضعیت	0.083398
مشکل	0.080469
کد	0.077351
قرارداد	0.074291
اقدام	0.068534
مبلغ	0.062559
تاریخ	0.060065
کاربر	0.059296
تسهیلات	0.058847
نمایش	0.057426
مشتریان	0.054511
شعبه	0.053974
بانک	0.048580
بروزرسانی	0.042504
صورتی	0.038762
صدور	0.037834
شناسه	0.035079
اسناد	0.034659
حقوقی	0.032672
ملی	0.032440
ارسال	0.032280
تایید	0.032164
مانده	0.030917
پیشنهاد	0.030424
مطابق	0.029336
برداشت	0.028858
حواله	0.028742
حقیقی	0.026857
بانکی	0.026770
انجام	0.026306
برگشت	0.026175
اصلاح	0.025378
کلید	0.025349
اطلاعیه	0.025131
همراه	0.025131
بانکداری	0.023913
نام	0.023579
عملیات	0.023478
واریز	0.023188
اعتبار	0.023086
سریال	0.023057
پرداخت	0.022970
مشاهده	0.021680
متمرکز	0.021056
سری	0.020578
ضمانتنامه	0.020360
مجوز	0.019736
سپرده	0.019722
ورود	0.019591
مرکزی	0.019316
افتتاح	0.019156
ریز	0.019084
ملت	0.019026
واحد	0.018634
انتقال	0.018620
ذکر	0.018591
مجدد	0.018562
شعب	0.018489
صورتیکه	0.018040
مرکز	0.017880
مسدودی	0.017605
تحویل	0.017561
خدمات	0.017547
فعال	0.017532
کاربران	0.017532
انتخاب	0.017402
اعتباری	0.017329
بازپرداخت	0.017271
وثیقه	0.017199
کارمزد	0.017054
مصوبه	0.016981
رمز	0.016851
الکترونیک	0.016691
مذکور	0.016140
توسط	0.015966
تمدید	0.015865
ردیف	0.015850
چاپ	0.015662
صورتحساب	0.015618
خطا	0.015372
روز	0.015256
بدهی	0.015038
اینترنتی	0.015024
ابطال	0.014995
بک	0.014879
موارد	0.014864
اشتباه	0.014574
واگذاری	0.014371
انتقالی	0.014255
آفیس	0.014182
فیلد	0.014052
صیاد	0.014008
سقف	0.013834
پیگیری	0.013820
وجه	0.013805
وثایق	0.013588
استفاده	0.013428
احوال	0.013124
گردش	0.012921
اسنادی	0.012906
فروش	0.012747
برگشتی	0.012602
ذینفع	0.012558
جام	0.012500
سررسید	0.012486
انسداد	0.012326
ارز	0.012326
مدیریت	0.012210
شرایط	0.012167
بن	0.012123
بابت	0.012065
موجودی	0.011993
ارزی	0.011891
اداره	0.011848
کاربری	0.011819
شهاب	0.011703
نقش	0.011645
ایجاد	0.011398
مشخصات	0.011340
شرح	0.011094
صاحب	0.011079
ریال	0.011065
محل	0.010920
هدیه	0.010789
سیستم	0.010760
وندیا	0.010644
گزینه	0.010630
عملکرد	0.010630
لاک	0.010601
مربوطه	0.010528
تسویه	0.010427
پاسخ	0.010412
ستاد	0.010195
صفحه	0.010195
مجاز	0.010021
اکسس	0.009963
اقساط	0.009875
نشده	0.009774
آخر	0.009629
بیمه	0.009585
داخلی	0.009484
تخصیص	0.009223
پایا	0.009179
تکلیف	0.009063
خارجی	0.008904
اخذ	0.008831
چکاوک	0.008802
فاقد	0.008744
صحیح	0.008730
خودپرداز	0.008701
سند	0.008657
اوراق	0.008599
خرید	0.008498
سود	0.008411
مالی	0.008367
فرم	0.008295
نماید	0.008237
آنی	0.008193
اشخاص	0.008193
نشد	0.008164
موجود	0.008092
پژواک	0.007990
نمایند	0.007961
مرحله	0.007947
ریالی	0.007947
میسر	0.007932
اصلی	0.007889
نقدی	0.007845
کدملی	0.007816
bm	0.007729
پرسنلی	0.007642
نسخه	0.007628
تعریف	0.007599
پیچک	0.007570
قانونی	0.007570
حذف	0.007541
صادر	0.007468
ناقص	0.007410
ثبتی	0.007381
اشتراکی	0.007323
پوز	0.007323
سرویس	0.007265
اعطای	0.007222
فایل	0.007135
صرفا	0.006975
کوتاه	0.006917
سال	0.006874
معرفی	0.006830
گردیده	0.006787
تماس	0.006714
گواهی	0.006714
پشتیبانی	0.006700
قسمت	0.006656
نموده	0.006511
عنوان	0.006439
گزارشات	0.006410
معتبر	0.006381
منوی	0.006323
سپام	0.006192
نقد	0.006120
نماینده	0.006091
بستن	0.006018
not	0.006018
چکهای	0.005989
بهادار	0.005989
بایگانی	0.005859
پیامک	0.005801
تبادل	0.005757
اختیارات	0.005699
دستگاه	0.005612
حسابها	0.005554
کمتر	0.005525
ضامن	0.005525
کاری	0.005467
کارتابل	0.005467
تصویب	0.005467
ارتباط	0.005453
تراکنش	0.005351
F	0.005322
روزانه	0.005308
مسدود	0.005264
نامه	0.005264
سیتواسیون	0.005221
کلر	0.005221
ارائه	0.005206
وصول	0.005192
تاریخچه	0.005177
مبلغی	0.005148
اساس	0.005134
اطلاعاتی	0.005119
قبلی	0.005105
زمان	0.005090
itsm	0.005047
نرخ	0.005047
انتظامی	0.005032
کسر	0.005032
ذیل	0.005018
حسابهای	0.004989
تحویلداری	0.004974
شرکت	0.004974
بلند	0.004916
اعتبارات	0.004901
ساتنا	0.004858
نمود	0.004858
سرمایه	0.004742
تعهدات	0.004727
توجه	0.004669
نمودن	0.004640
دسترسی	0.004640
تقسیط	0.004626
چنانچه	0.004611
رهگیری	0.004582
تخفیف	0.004539
اموال	0.004510
حداکثر	0.004510
روابط	0.004495
